Id,Amount,Network,Mode,TransactionDate,transactionId,settlementId
1,982.64,American Express,Online,2022-04-25,3992386973,5469931025
2,200.01,American Express,In-store,2022-04-29,9001947159,2875604765
3,417.03,Mastercard,In-store,2022-09-13,3834950568,3098444506
4,904.44,Mastercard,In-store,2022-06-23,8181344625,7052437474
5,671.51,Mastercard,In-store,2022-05-06,6653897518,8602143302
6,725.42,Visa,In-store,2022-03-19,3703128411,3182114266
7,74.81,American Express,Online,2022-04-03,1094752780,9811657858
8,767.3,Mastercard,In-store,2023-03-03,2475580868,4674549572
9,960.06,Discover,Online,2022-03-14,3366869048,2120471684
10,904.57,American Express,Online,2022-06-24,4882060417,5791330835
11,964.33,Mastercard,Online,2022-04-26,4316478363,1364090794
12,679.32,Mastercard,Online,2023-02-09,1269357281,8131079475
13,266.19,Mastercard,Online,2023-01-17,9034318846,4980658026
14,206.78,Visa,In-store,2022-05-11,7428159295,8744429821
15,399.93,Discover,Online,2022-11-09,2314040591,2638281477
16,838.2,Mastercard,Online,2022-03-24,6126366453,8063225921
17,676.55,Discover,In-store,2022-12-18,4687163947,7733621260
18,855.49,Visa,Online,2022-04-05,3271649707,7726721044
19,142.98,Discover,In-store,2022-08-31,1829493217,4329214612
20,682.52,Mastercard,Online,2022-07-31,9744214378,6514303930
21,498.03,Mastercard,In-store,2022-12-09,6028177801,8876080418
22,897.52,Visa,In-store,2023-02-25,8678493117,7852112570
23,673.11,Discover,Online,2022-06-18,7486141318,5551314486
24,856.55,Discover,Online,2022-04-01,7621273961,2317062011
25,221.76,Mastercard,In-store,2022-04-21,9871855715,3630764439
26,644.83,American Express,Online,2022-12-24,6932977320,8097237271
27,404.01,American Express,In-store,2023-02-23,9593358083,4265058985
28,900.61,Discover,In-store,2023-02-08,5912432164,2480235920
29,809.63,Discover,In-store,2022-07-03,8991745782,8845024156
30,854.04,Discover,Online,2023-03-03,1203875154,3500131284
31,525.36,American Express,Online,2022-08-22,8659051319,5740143918
32,456.47,Mastercard,Online,2022-04-16,8945672965,7612968269
33,740.0,Mastercard,In-store,2022-06-11,2895208308,4552935227
34,723.3,Visa,In-store,2022-04-26,9450227320,1801514518
35,698.64,American Express,Online,2022-03-31,3480857509,3479672724
36,278.59,Visa,Online,2023-02-01,7627333958,2523651716
37,301.68,American Express,Online,2022-08-09,4110492327,9525111861
38,33.79,Discover,In-store,2022-03-31,4612678048,7568713611
39,141.44,Discover,Online,2022-12-11,5004574989,4000374840
40,722.6,Discover,In-store,2022-04-16,4825393509,6137995313
41,145.61,Mastercard,Online,2022-05-10,7872530816,3496994946
42,835.77,Mastercard,In-store,2022-03-20,7623578415,7135536475
43,269.86,Discover,In-store,2023-02-07,2711056817,8247780514
44,419.72,Mastercard,In-store,2022-08-21,2917623713,9356013424
45,684.45,American Express,In-store,2022-08-02,1688458178,2538435004
46,679.68,American Express,Online,2022-10-22,8619826656,9754862748
47,280.26,Mastercard,In-store,2022-11-17,3014397828,5632908972
48,606.78,American Express,Online,2022-06-16,8952801214,2591796392
49,205.63,Visa,Online,2022-05-08,8335705075,7664385980
50,754.42,American Express,In-store,2022-06-14,3175760037,5080755273
51,562.46,Mastercard,Online,2022-12-26,1473129664,3680318412
52,726.41,Mastercard,In-store,2022-04-29,8679756735,8840596003
53,732.1,Discover,In-store,2022-10-21,7000694394,6499467230
54,47.79,Visa,Online,2022-08-14,3388000496,3170846791
55,69.01,Discover,In-store,2022-11-15,5105925233,1685555952
56,131.31,Discover,In-store,2022-03-26,2818084827,7271830869
57,909.4,Discover,In-store,2022-08-17,8340860636,1267737168
58,108.33,Visa,In-store,2022-08-31,6537650136,7416162093
59,855.59,American Express,Online,2022-09-28,6242024575,9360028708
60,243.38,Visa,In-store,2022-12-13,3237769537,7872996312
61,922.4,Discover,In-store,2022-04-10,5388587747,6627993022
62,399.05,Mastercard,Online,2022-10-04,1734239173,1656966000
63,901.59,Discover,In-store,2022-11-23,7135799658,1461063403
64,329.25,Discover,Online,2022-10-26,5824994593,4610607978
65,850.04,Visa,In-store,2022-05-26,7397544715,5466439791
66,182.75,Visa,In-store,2022-11-01,5297310571,2890571913
67,286.38,Mastercard,Online,2022-06-29,2028716877,6110590396
68,985.7,Mastercard,In-store,2022-12-14,5482662549,5192329026
69,541.1,Mastercard,Online,2023-01-16,2818132984,6655749017
70,788.89,American Express,In-store,2022-06-13,5698946393,3379599645
71,143.65,Visa,In-store,2022-05-21,6754624648,3649642002
72,557.39,American Express,Online,2022-07-02,4113458218,5511862437
73,240.25,American Express,In-store,2022-09-22,4570157016,1462492548
74,826.91,American Express,In-store,2022-05-01,5751231342,2858333792
75,253.77,Mastercard,Online,2022-04-06,3991285470,4426325359
76,175.9,Mastercard,In-store,2022-06-25,1986243211,8822011113
77,305.14,Visa,In-store,2022-05-04,7331730589,3758249590
78,652.05,American Express,In-store,2022-06-21,8839918553,8746787515
79,339.15,American Express,Online,2023-02-22,9674396929,3655163763
80,389.41,American Express,In-store,2022-12-25,6667920423,8681236356
81,994.17,Discover,In-store,2022-10-21,8923768226,3576327902
82,483.69,Discover,Online,2023-01-27,2714024490,9455214075
83,825.07,American Express,In-store,2022-04-30,1601336348,3627968919
84,947.89,Visa,In-store,2022-11-19,8389817654,7927762925
85,488.79,Visa,In-store,2022-05-11,8131345530,2780804975
86,942.53,American Express,Online,2022-11-14,1479469471,4855669863
87,169.79,American Express,Online,2022-04-09,7876466328,5132883296
88,853.96,Visa,Online,2022-03-22,9597409891,6220100377
89,102.5,Mastercard,In-store,2022-04-04,9951075412,8846533022
90,78.48,Discover,Online,2022-07-10,8468381302,3267916591
91,712.36,Discover,Online,2022-06-21,2650217469,7812033287
92,198.96,Mastercard,In-store,2022-09-23,7512834338,9545544554
93,814.84,Visa,In-store,2022-08-02,6524348241,5900312405
94,378.49,American Express,In-store,2023-03-01,4622753627,6448490719
95,281.47,Mastercard,Online,2022-09-05,7130686177,9507743648
96,921.57,Discover,In-store,2023-01-20,3900952956,7082402072
97,75.2,Mastercard,Online,2022-05-17,8883860255,3945297814
98,89.45,Mastercard,In-store,2022-12-04,4808442845,7358870375
99,160.93,Mastercard,Online,2022-10-14,5703195664,7673999188
100,882.65,Discover,Online,2022-06-15,8686920214,8388901773
101,254.77,Visa,In-store,2023-02-25,7151390527,8909688597
102,548.78,Visa,In-store,2022-11-05,5993441547,2673829867
103,369.72,Visa,In-store,2022-07-11,8733919500,3023424781
104,319.74,American Express,In-store,2023-02-15,1265601814,5782631113
105,884.83,Mastercard,In-store,2022-10-03,8515344741,2232981772
106,529.99,Mastercard,In-store,2022-04-15,9883434400,6745206946
107,840.58,Discover,Online,2023-01-30,4510844434,3893484743
108,269.48,Discover,In-store,2023-01-30,2947408019,1388847695
109,550.71,Visa,Online,2022-09-19,4267526964,2663830166
110,109.83,Discover,In-store,2022-04-12,3795059840,1905213646
111,275.87,Mastercard,In-store,2022-10-23,4299236105,7478526279
112,787.42,Mastercard,Online,2022-09-11,9896740608,5435627100
113,198.26,Discover,In-store,2023-02-25,2338686428,5158393577
114,737.91,American Express,Online,2022-10-22,7099410779,8106880276
115,102.81,Discover,In-store,2022-12-11,5475303741,1279540588
116,736.67,Mastercard,Online,2022-12-22,9740276243,2377444953
117,115.57,Visa,Online,2022-12-30,5121719828,2793388502
118,638.89,Mastercard,Online,2023-01-21,8118028690,7090099968
119,940.02,Visa,In-store,2022-07-03,8612696580,4150668317
120,303.3,Discover,In-store,2023-01-02,8906040783,9512864706
121,488.76,Discover,Online,2022-06-18,3174230772,9630821667
122,460.72,Discover,In-store,2022-11-27,1414949548,4431084680
123,152.9,Mastercard,In-store,2023-02-06,3197884391,7823736089
124,888.98,American Express,In-store,2022-05-23,1546275738,6825313400
125,207.81,Mastercard,Online,2023-01-17,3957953677,8654051817
126,663.07,Visa,Online,2022-12-30,4502577601,2180894557
127,248.71,American Express,In-store,2022-07-15,9161367768,8518199223
128,120.5,Mastercard,Online,2022-12-14,7019702065,5582180008
129,510.79,American Express,In-store,2023-02-27,3355092477,9839960887
130,894.18,Visa,Online,2022-05-09,3362480325,8971658305
131,37.18,American Express,Online,2022-04-13,5781185458,1596373723
132,410.71,Visa,In-store,2023-02-27,5422400348,8901349926
133,114.87,Visa,Online,2022-05-20,2352086725,2589698742
134,33.99,Mastercard,In-store,2022-05-21,1691988297,7439721880
135,644.26,Discover,In-store,2022-07-13,4070276342,7027698119
136,626.72,Visa,Online,2022-12-11,1945305122,9122850574
137,518.03,Visa,Online,2022-06-19,2945403469,6891204734
138,50.83,Mastercard,Online,2022-11-19,6332965810,9390736701
139,629.62,American Express,Online,2022-04-05,6745214723,6176072819
140,179.41,Discover,In-store,2023-02-05,6224916274,2425431208
141,818.74,Discover,Online,2022-09-08,5394855060,8232391944
142,179.96,Mastercard,In-store,2022-05-04,9214249060,3561326124
143,850.32,American Express,Online,2022-07-24,4506586731,2365161878
144,782.68,Discover,Online,2022-06-06,9365106524,6894138051
145,756.84,Mastercard,In-store,2022-05-16,2519868703,5890355329
146,142.11,Mastercard,Online,2022-09-05,1215743456,2967042181
147,652.93,Mastercard,Online,2023-03-09,3970221012,7239191488
