Id,Amount,Network,Mode,TransactionDate,transactionId
1,982.64,American Express,Online,2022-04-25,3992386973
2,200.01,American Express,In-store,2022-04-29,9001947159
3,417.03,Mastercard,In-store,2022-09-13,3834950568
4,904.44,Mastercard,In-store,2022-06-23,8181344625
5,671.51,Mastercard,In-store,2022-05-06,6653897518
6,725.42,Visa,In-store,2022-03-19,3703128411
7,74.81,American Express,Online,2022-04-03,1094752780
8,767.3,Mastercard,In-store,2023-03-03,2475580868
9,960.06,Discover,Online,2022-03-14,3366869048
10,904.57,American Express,Online,2022-06-24,4882060417
11,964.33,Mastercard,Online,2022-04-26,4316478363
12,679.32,Mastercard,Online,2023-02-09,1269357281
13,266.19,Mastercard,Online,2023-01-17,9034318846
14,206.78,Visa,In-store,2022-05-11,7428159295
15,399.93,Discover,Online,2022-11-09,2314040591
16,838.2,Mastercard,Online,2022-03-24,6126366453
17,676.55,Discover,In-store,2022-12-18,4687163947
18,855.49,Visa,Online,2022-04-05,3271649707
19,142.98,Discover,In-store,2022-08-31,1829493217
20,682.52,Mastercard,Online,2022-07-31,9744214378
21,498.03,Mastercard,In-store,2022-12-09,6028177801
22,897.52,Visa,In-store,2023-02-25,8678493117
23,673.11,Discover,Online,2022-06-18,7486141318
24,856.55,Discover,Online,2022-04-01,7621273961
25,221.76,Mastercard,In-store,2022-04-21,9871855715
26,644.83,American Express,Online,2022-12-24,6932977320
27,404.01,American Express,In-store,2023-02-23,9593358083
28,900.61,Discover,In-store,2023-02-08,5912432164
29,809.63,Discover,In-store,2022-07-03,8991745782
30,854.04,Discover,Online,2023-03-03,1203875154
31,525.36,American Express,Online,2022-08-22,8659051319
32,456.47,Mastercard,Online,2022-04-16,8945672965
33,740.0,Mastercard,In-store,2022-06-11,2895208308
34,723.3,Visa,In-store,2022-04-26,9450227320
35,698.64,American Express,Online,2022-03-31,3480857509
36,278.59,Visa,Online,2023-02-01,7627333958
37,301.68,American Express,Online,2022-08-09,4110492327
38,33.79,Discover,In-store,2022-03-31,4612678048
39,141.44,Discover,Online,2022-12-11,5004574989
40,722.6,Discover,In-store,2022-04-16,4825393509
41,145.61,Mastercard,Online,2022-05-10,7872530816
42,835.77,Mastercard,In-store,2022-03-20,7623578415
43,269.86,Discover,In-store,2023-02-07,2711056817
44,419.72,Mastercard,In-store,2022-08-21,2917623713
45,684.45,American Express,In-store,2022-08-02,1688458178
46,679.68,American Express,Online,2022-10-22,8619826656
47,280.26,Mastercard,In-store,2022-11-17,3014397828
48,606.78,American Express,Online,2022-06-16,8952801214
49,205.63,Visa,Online,2022-05-08,8335705075
50,754.42,American Express,In-store,2022-06-14,3175760037
51,562.46,Mastercard,Online,2022-12-26,1473129664
52,726.41,Mastercard,In-store,2022-04-29,8679756735
53,732.1,Discover,In-store,2022-10-21,7000694394
54,47.79,Visa,Online,2022-08-14,3388000496
55,69.01,Discover,In-store,2022-11-15,5105925233
56,131.31,Discover,In-store,2022-03-26,2818084827
57,909.4,Discover,In-store,2022-08-17,8340860636
58,108.33,Visa,In-store,2022-08-31,6537650136
59,855.59,American Express,Online,2022-09-28,6242024575
60,243.38,Visa,In-store,2022-12-13,3237769537
61,922.4,Discover,In-store,2022-04-10,5388587747
62,399.05,Mastercard,Online,2022-10-04,1734239173
63,901.59,Discover,In-store,2022-11-23,7135799658
64,329.25,Discover,Online,2022-10-26,5824994593
65,850.04,Visa,In-store,2022-05-26,7397544715
66,182.75,Visa,In-store,2022-11-01,5297310571
67,286.38,Mastercard,Online,2022-06-29,2028716877
68,985.7,Mastercard,In-store,2022-12-14,5482662549
69,541.1,Mastercard,Online,2023-01-16,2818132984
